step,layer,gamma_mag,beta_mag,gamma_var_tokens,beta_var_tokens,val_loss,ppl
12000,11,2.206851,0.7035,0.287116,0.13183,4.9567,142.12
13000,0,0.94557,0.090608,0.000327,0.000219,4.9032,134.72
13000,1,1.25727,0.161385,0.014105,0.004632,4.9032,134.72
13000,2,1.332084,0.239382,0.035857,0.01312,4.9032,134.72
13000,3,1.325995,0.194968,0.047293,0.02795,4.9032,134.72
13000,4,1.249518,0.136976,0.033029,0.01461,4.9032,134.72
13000,5,1.200543,0.189688,0.056894,0.037272,4.9032,134.72
13000,6,1.328872,0.338259,0.062926,0.05602,4.9032,134.72
13000,7,1.312152,0.313588,0.075654,0.057083,4.9032,134.72
13000,8,1.508666,0.354452,0.174083,0.055644,4.9032,134.72
13000,9,1.847133,0.400682,0.18051,0.045209,4.9032,134.72
13000,10,2.061391,0.53718,0.281072,0.084457,4.9032,134.72
13000,11,2.202205,0.700795,0.345199,0.158392,4.9032,134.72
14000,0,0.95665,0.089572,0.000302,0.000194,4.8497,127.7
14000,1,1.269765,0.176095,0.016457,0.005541,4.8497,127.7
14000,2,1.321427,0.247215,0.034268,0.013066,4.8497,127.7
14000,3,1.332058,0.186376,0.043875,0.025773,4.8497,127.7
14000,4,1.277633,0.145606,0.029603,0.013759,4.8497,127.7
14000,5,1.217469,0.196142,0.055533,0.036572,4.8497,127.7
14000,6,1.328054,0.342774,0.060793,0.055442,4.8497,127.7
14000,7,1.335273,0.335554,0.072657,0.057055,4.8497,127.7
14000,8,1.611725,0.401385,0.170025,0.055499,4.8497,127.7
14000,9,1.7348,0.36049,0.183381,0.047413,4.8497,127.7
14000,10,2.097278,0.56053,0.266129,0.082551,4.8497,127.7
14000,11,2.347996,0.785815,0.342578,0.156358,4.8497,127.7
15000,0,0.959473,0.098224,0.000358,0.000228,4.8123,123.01
15000,1,1.29012,0.192396,0.016085,0.005603,4.8123,123.01
15000,2,1.357267,0.269879,0.035488,0.013523,4.8123,123.01
15000,3,1.358584,0.194118,0.040781,0.023313,4.8123,123.01
15000,4,1.290169,0.14706,0.02863,0.013674,4.8123,123.01
15000,5,1.217875,0.198486,0.052213,0.036172,4.8123,123.01
15000,6,1.316015,0.330356,0.061445,0.056896,4.8123,123.01
15000,7,1.288848,0.311026,0.070937,0.055982,4.8123,123.01
